Chr11	TSSStart	TSSStop	GeneName	P4D7F4_R1	P4D7F4_R2	Ev9D_R1	Ev9D_R2	Ev12A_R1	Ev12A_R2	MiniXist_R1	MiniXist_R2	DelB_MiniXist_R1	DelB_MiniXis_R2	739D12_R1	739D12_R2	CL3_DelR1N_FBC_R1	CL3_DelR1N_FBC_R2	CL6_DelBFLXist_R1	CL6_DelBFLXist_R2
chr11	3124020	3124021	Pisd-ps1	0	0.047375973	0	0	0.0675	0.1039	0	0	0.0069	0.1237	0	0	0.054972953	0.069165523	0.004064594	0.038342145
chr11	3193462	3193463	Sfi1	0.109772753	0.025319169	0	0	0.0919	0	0.0103	0.071	0	0	0.008689707	0.34494782	0.104337211	0.049294616	0.003432429	0.008963869
chr11	3202352	3202353	Eif4enif1	0.069630763	0.048360092	0.046367359	0.014363872	0.0474	0	0	0.1574	0.0586	0.0381	0.1594769	0	0	0	0.009731176	0.006698702
chr11	3289130	3289131	Patz1	0	0.030040596	0.040019131	0.015037193	0	0	0.0776	0.0004	0.0587	0	0	0.134649942	0	0	0.132033656	0
chr11	3308999	3309000	Gm11944	0.233903445	0.084876644	0.657776835	0.3820259	0.2625	0.1642	0	0	0	0	0.094228964	0	0	0.085063159	0.001423003	0.151476471
chr11	3330730	3330731	Pik3ip1	0.12637723	0.034452326	0	0	0.0395	0.173	0	0	0	0	1	0.583986293	0	0.036819262	0.038337727	0.02685037
chr11	3452436	3452437	8430429K09Rik	0	0	0	0	0.1878	0	0	0	0.085	0.134	0	0	0.090461566	0.186783734	0.042096774	0
chr11	3462989	3462990	Mir3470a	0.045874433	0.088476067	0	0	0.188	0	0	0	0	0	0	0	0	0	0	0
chr11	3514701	3514702	Selm	0.118202034	0.075346458	0	0.133065309	0.0362	0	0	0	0.0005	0	0	0	0	0.01166189	0	0
chr11	3539291	3539292	Smtn	0.078190405	0	0	0	0.1832	0	0.1343	0.2424	0	0	0	0	0	0	0.01347029	0
