Chr11	TSSStart	TSSStop	GeneName	P4D7F4_R1	P4D7F4_R2	Ev9D_R1	Ev9D_R2	Ev12A_R1	Ev12A_R2	X739D12_R1	X739D12_R2	CL3_DelR1N_FBC_R1	CL3_DelR1N_FBC_R2	CL6_DelBFLXist_R1	CL6_DelBFLXist_R2	MiniXist_R1	MiniXist_p.value1	MiniXist_R2	MiniXist_p.value2	MiniXist_Fishers_p.value	MiniXist_q.vaule	DelB_MiniXist_R1	DelBMiniXist_p.value1	DelB_MiniXist_R2	DelB_MiniXist_p.value2	DelB_MiniXist_Fishers_p.value	DelB_MiniXist_q.vaule	rRS	MiniXist_cRS	DelB_MiniXist_cRS	site	site2	Sig
chr11	3124020	3124021	Pisd-ps1	0	0.047375973	0	0	0.0675	0.1039	0	0	0.054972953	0.069165523	0.004064594	0.038342145	0	0.4973	0	0.5066	0.599244713	0.608316432	0.0069	0.3465	0.1237	0	0	0	0.01184399325	0	0.05345600675	4	L	0.0239856057100443
chr11	3193462	3193463	Sfi1	0.109772753	0.025319169	0	0	0.0919	0	0.008689707	0.34494782	0.104337211	0.049294616	0.003432429	0.008963869	0.0103	0.3131	0.071	5e-04	0.001528262	0.004299568	0	0.4967	0	0.5055	0.598071015	0.611534142	0.0337729805	0.0068770195	0	4	L	11.0805456419009
chr11	3202352	3202353	Eif4enif1	0.069630763	0.048360092	0.046367359	0.014363872	0.0474	0	0.1594769	0	0	0	0.009731176	0.006698702	0	0.4893	0.1574	1e-04	0.000534566	0.001708582	0.0586	0.0868	0.0381	0.1894	0.083975814	0.351931836	0.0446805215	0.0340194785	0.0036694785	4	L	6.10167815600176
chr11	3289130	3289131	Patz1	0	0.030040596	0.040019131	0.015037193	0	0	0	0.134649942	0	0	0.132033656	0	0.0776	0.0195	4e-04	0.4947	0.054418147	0.098853109	0.0587	0.0568	0	0.4946	0.128448794	0.473928511	0.02127423	0.01772577	0.00807577	4	L	3.09913489567106
chr11	3308999	3309000	Gm11944	0.233903445	0.084876644	0.657776835	0.3820259	0.2625	0.1642	0.094228964	0	0	0.085063159	0.001423003	0.151476471	0	0.4986	0	0.4998	0.595463662	0.608316432	0	0.4993	0	0.4971	0.594074594	0.611534142	0.339645706	0	0	4	L	1.01072744852518
chr11	3330730	3330731	Pik3ip1	0.12637723	0.034452326	0	0	0.0395	0.173	1	0.583986293	0	0.036819262	0.038337727	0.02685037	0	0.4996	0	0.4969	0.594143164	0.608316432	0	0.4999	0	0.5024	0.598164856	0.611534142	0.040207389	0	0	4	L	1.01072744852518
chr11	3452436	3452437	8430429K09Rik	0	0	0	0	0.1878	0	0	0	0.090461566	0.186783734	0.042096774	0	0	0.4971	0	0.507	0.599379135	0.608316432	0.085	0.3155	0.134	0.23	0.262922774	0.611534142	0	0	0.1095	4	L	1.01072744852518
chr11	3462989	3462990	Mir3470a	0.045874433	0.088476067	0	0	0.188	0	0	0	0	0	0	0	0	0.5012	0	0.4984	0.596293588	0.608316432	0	0.499	0	0.4992	0.595325415	0.611534142	0.033587625	0	0	4	L	1.01072744852518
chr11	3514701	3514702	Selm	0.118202034	0.075346458	0	0.133065309	0.0362	0	0	0	0	0.01166189	0	0	0	0.4954	0	0.4989	0.592613417	0.608316432	5e-04	0.4892	0	0.4971	0.587027047	0.611534142	0.08165345025	0	0	4	L	1.01072744852518
chr11	3539291	3539292	Smtn	0.078190405	0	0	0	0.1832	0	0	0	0	0	0.01347029	0	0.1343	0.024	0.2424	1e-04	3.35e-05	0.000136253	0	0.5017	0	0.5019	0.59906691	0.611534142	0.01954760125	0.16880239875	0	4	L	18.099370633941
chr11	3648813	3648814	Tug1	0	0	0	0.056027116	0.1374	0	0.212952415	0.412791912	0	0	0.030115603	0.042630187	0	0.4969	0	0.4993	0.593935417	0.608316432	0.0356	0.0876	0.0684	0.0188	0.012201524	0.093360148	0.014006779	0	0.037993221	4	L	0.209615836822827
chr11	3649493	3649494	Morc2a	0.049955999	0.049233417	0.041668041	0.038925802	0.0269	0	0.015423833	0	0.001586205	0	0.047409812	0.048145267	0.1197	0	0	0.5001	0	0	0.0286	0.1838	0.0717	0.0228	0.027133983	0.163102105	0.04494581475	0.01490418525	0.00520418525	4	L	11.4279847013979
chr11	3863902	3863903	Osbp2	0.120917692	0.057395681	0.779774546	0.669750253	0	0.0061	0	0	0.119679879	0.013860018	0.06501326	0	0	0.5001	0	0.5037	0.599200858	0.608316432	0	0.5037	0	0.5015	0.600172119	0.611534142	0.406959543	0	0	4	L	1.01072744852518
chr11	3895239	3895240	Dusp18	0.066653129	0	0.175117084	0.612502545	0.4418	0	0.476884312	0.21121823	0	0	0.161559187	0	0.0445	0.4321	0.098	0.3671	0.450685303	0.565456094	0.027	0.444	0	0.5023	0.557661934	0.611534142	0.2135681895	0	0	4	L	1.1592936268151
chr11	3914663	3914664	Slc35e4	0	0.001831139	0.290557357	0	0	0	0	0.570078326	0	0.009296369	0.205451526	0.087154445	0	0.4861	0	0.4941	0.582767606	0.608316432	0.0673	0.2513	0	0.4984	0.385445482	0.611534142	0.073097124	0	0	4	L	1.01072744852518
chr11	3932077	3932078	Tcn2	0.142895257	0.116765855	0	0	0.2889	0.0345	0	0	0.158920675	0.266590514	0	0	0	0.4901	0	0.4973	0.587797617	0.608316432	0.0094	0.4469	0.1329	0.0317	0.074472502	0.325615703	0.064915278	0	0.006234722	4	L	0.442997779502272
chr11	3963974	3963975	Pes1	0.015863983	0.010547618	0	0.059630953	0	0.0181	0.128545967	0.02513376	0.11981981	0.056301305	0	0.035045778	0	0.493	0.0143	0.355	0.480045772	0.5905557	0.0045	0.4492	0	0.4991	0.5594212	0.611534142	0.0215106385	0	0	4	L	1.0709799299196
